Feature,category
142721,animal
142783,animal
142798,animal
142841,animal
142850,animal
142864,vegetable/herb
142868,animal
142894,animal
142927,animal
142938,animal
14294,fruit
142965,animal
142971,vegetable/herb
143037,animal
143038,animal
143044,animal
143045,animal
143124,vegetable/herb
143134,animal
143135,animal
143163,animal
143175,animal
143211,animal
143218,fruit
143219,animal
143222,animal
143224,animal
143225,animal
143240,animal
143241,vegetable/herb
143255,animal
143268,animal
143275,animal
143278,animal
143291,animal
143310,animal
143320,vegetable/herb
143322,animal
143338,vegetable/herb
143370,vegetable/herb
143374,vegetable/herb
143389,animal
143397,vegetable/herb
143406,animal
143409,animal
143435,animal
143454,animal
143456,animal
143492,vegetable/herb
143582,vegetable/herb
143634,animal
143652,animal
143733,vegetable/herb
143735,vegetable/herb
143775,animal
143806,vegetable/herb
143846,vegetable/herb
143912,fruit
143994,animal
144039,animal
144097,animal
14432,fruit
144347,vegetable/herb
14449,fruit
144497,animal
14453,fruit
144569,vegetable/herb
144579,animal
144695,vegetable/herb
144715,vegetable/herb
144723,vegetable/herb
144725,vegetable/herb
144729,vegetable/herb
14478,animal
144822,vegetable/herb
144894,vegetable/herb
144932,fruit
144984,fruit
145054,vegetable/herb
145055,fruit
145062,animal
145117,vegetable/herb
145136,vegetable/herb
145158,vegetable/herb
145218,fruit
145242,vegetable/herb
145245,vegetable/herb
145282,fruit
145319,fruit
145386,fruit
145403,vegetable/herb
145490,vegetable/herb
145491,vegetable/herb
145507,vegetable/herb
145549,fruit
145677,fruit
14570,animal
14578,animal
145786,animal
14581,fruit
145854,animal
146127,animal
146253,vegetable/herb
14626,fruit
146357,vegetable/herb
146383,fruit
146426,fruit
146427,vegetable/herb
146434,vegetable/herb
146574,fruit
146584,vegetable/herb
146667,vegetable/herb
146741,animal
146770,vegetable/herb
146995,vegetable/herb
147038,animal
147040,vegetable/herb
147045,animal
147094,vegetable/herb
1471,animal
147100,vegetable/herb
147148,animal
147168,animal
147191,animal
147250,animal
147302,vegetable/herb
147346,animal
147449,vegetable/herb
147540,animal
147658,vegetable/herb
147712,vegetable/herb
14776,vegetable/herb
147763,animal
147835,vegetable/herb
14788,fruit
1479,fruit
147956,animal
14805,fruit
148070,vegetable/herb
148168,vegetable/herb
14824,fruit
148260,animal
148279,animal
148281,animal
148316,animal
148433,vegetable/herb
14848,animal
148493,vegetable/herb
148531,vegetable/herb
14854,animal
148556,animal
148652,animal
148653,animal
148678,vegetable/herb
148743,vegetable/herb
148752,animal
148754,animal
148889,vegetable/herb
148982,animal
149026,animal
149075,vegetable/herb
149085,vegetable/herb
149140,animal
149225,animal
149321,animal
149332,animal
149458,vegetable/herb
149474,vegetable/herb
14950,animal
149566,vegetable/herb
149596,animal
149624,vegetable/herb
149680,animal
149707,animal
149743,animal
1498,animal
149811,animal
149853,animal
149881,vegetable/herb
149888,vegetable/herb
149903,vegetable/herb
149984,vegetable/herb
150033,vegetable/herb
150042,animal
150047,vegetable/herb
150062,animal
15009,fruit
150180,vegetable/herb
150281,vegetable/herb
150381,vegetable/herb
150513,vegetable/herb
150594,animal
150777,animal
150933,vegetable/herb
150942,animal
151076,animal
15121,fruit
151226,vegetable/herb
151278,vegetable/herb
151393,vegetable/herb
151410,animal
151647,vegetable/herb
151785,vegetable/herb
15179,fruit
151796,vegetable/herb
151882,vegetable/herb
151888,vegetable/herb
151895,vegetable/herb
151899,animal
15190,animal
151901,animal
