"feature","category"
"107413","betel nut leaf, strawberry, cardamom"
"107512","carrot"
"107525","turmeric, grape_fermented, cardamom, oregano, avocado"
"107536","pine nut, grape_fermented, lentil, cardamom, bay leaf, Spenach, lavender, mint"
"107551","anise, bay leaf"
"107588","grape"
"107592","carrot, turmeric, Spenach, ginger, oregano"
"107605","beef, shrimp, chicken"
"107622","beef, pea, Tilapia"
"107695","cheddar cheese"
"1077","cheddar cheese"
"107739","walnut, peanut, anise, bay leaf, Spenach"
"107775","cardamom"
"107797","beet, carrot, peanut, lentil, legume, ginger"
"10783","grape_fermented, peanut, cocoa seed, cranberry, oregano"
"107875","rice, raspberry, turmeric, grape_fermented, bean, peanut, lentil, anise, bay leaf, poppy seed"
"107940","onion, basil"
"107950","salmon, cream"
"107968","yogurt_cow, cheddar cheese"
"107998","beef, wheat, cream"
"108006","walnut, pine nut, turmeric, cardamom"
"108024","cheddar cheese"
"108044","cheddar cheese"
"108046","cheddar cheese"
"108059","cheddar cheese"
"108134","mango, radish, sesame"
"108155","raspberry, walnut, pine nut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, butter, Spenach"
"108161","raspberry, walnut, lentil, Spenach, oregano"
"108216","milk_cow, yogurt_cow"
"108227","walnut, peanut, anise, olive, bay leaf, spice, Spenach, ginger, oregano"
"108234","lemon balm"
"108254","beef"
"108275","blueberry, turmeric, anise, cardamom, oregano, banana"
"108296","trout"
"10830","grape_fermented, bean, peanut, anise, chicken, cocoa seed"
"108302","squash blossom"
"108316","yogurt_cow, cheddar cheese"
"108350","blueberry, anise, cardamom, oregano, apricot, mint"
"108397","soda, guava, lemon balm"
"108463","beef, veal"
"10850","beef"
"108509","egg_chicken, eggplant, radish greens, ground cherry"
"108600","shrimp, langostino"
"108642","cheddar cheese"
"108682","walnut"
"108711","beef"
"108735","beef, veal"
"1088","beef, trout, salmon, chicken, pig"
"108807","carrot, broccoli, pine nut, bean, oregano, mint"
"108820","melon, wheat"
"108903","beef"
"108905","peanut"
"108940","walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, legume, butter, Spenach, pig"
"108952","ginger, salmon, cheddar cheese"
"109016","cheddar cheese"
"109033","veal"
"109034","beef, cheddar cheese"
"109055","cheddar cheese"
"109071","strawberry, sesame"
"109074","pepper"
"10916","cheddar cheese"
"109163","walnut, turmeric, grape_fermented, lentil, olive, cardamom, bay leaf"
"109214","walnut, turmeric, grape_fermented, peanut, cardamom, bay leaf, butter, Spenach"
"109234","beef"
"109289","beef"
"109308","cheddar cheese"
"109354","beef"
"109419","beef"
"109454","pig"
"109470","turmeric, grape_fermented, peanut, lentil, anise, cardamom, bay leaf, spice, butter, Spenach, ginger, poppy seed"
"109479","watercress"
"109492","walnut, pine nut, turmeric, grape_fermented, cardamom, bay leaf, legume, butter, Spenach, poppy seed"
"109497","chicken"
"109527","cheddar cheese"
"109603","Tilapia, chicken"
"109605","beef, raspberry, Tilapia, chicken"
"109646","tomato, pepper, peanut, bay leaf, spice, marigold"
"109680","cheddar cheese"
"109684","pear, blueberry, turmeric, lentil, anise, oregano"
"109771","chard, guava"
"109849","langostino"
"109851","turmeric, bay leaf, oregano, lemon balm, potato leaf"
"109862","beef"
"109863","peanut"
"10987","rice, pepper, banana, betel nut"
"109878","pig"
"109909","cilantro, chard"
"109920","pear, basil"
"109967","trout, shrimp, langostino"
"109975","cheddar cheese"
"110003","beef"
"110004","beef"
"110027","betel nut leaf, walnut, turmeric, grape_fermented, peanut, lentil, anise, olive, cardamom, bay leaf, spice, Spenach, ginger"
"110072","olive, cardamom, bay leaf, butter, Spenach, ginger, avocado, lavender, cloves"
"110096","pepper"
"110110","beef"
"110180","Tilapia, lettuce, parsley"
"110232","pear, walnut, anise, Spenach, oregano, tarragon"
"110244","walnut, bean, lentil, cardamom, hing powder, oregano"
"1103","beef, trout, Tilapia, pig"
"110315","cheddar cheese"
"110338","beef, lentil, Tilapia, chicken, veal"
"110376","avocado"
"110480","walnut, turmeric, grape_fermented, olive, legume, Spenach, lavender"
"110523","walnut, pea, bean, peanut, anise, cardamom, bay leaf, spice, Spenach, ginger, poppy seed"
"110533","beef, salmon"
"110668","salmon, cheddar cheese"
"11080","lavender"
"110805","beef, trout, Tilapia"
"110903","brussel sprout"
"110904","garlic powder"
"110916","cheddar cheese"
"110917","cheddar cheese"
"110946","raspberry, borage leaf"
"110958","sage, walnut, anise, cardamom, bay leaf, Spenach, oregano, lavender, dill flower, parsley"
"110968","olive, cardamom, ginger, avocado"
"111046","arugula, tarragon"
"111057","cheddar cheese"
"111089","beef, langostino"
"111104","mango, Tilapia"
"111171","beef, Tilapia, salmon, chicken, veal"
"111175","Tilapia, yogurt_cow, cream, cheddar cheese"
"111186","beef, bean, marjoram"
"111187","pepper, shrimp, chicken"
"111219","garlic, langostino"
"111315","broccoli, walnut, grape_fermented, peanut, olive, cardamom, bay leaf, Spenach, poppy seed"
"111321","cocoa seed"
"111325","beef"
"111366","onion, walnut, grape_fermented, anise, cardamom, oregano"
"111391","beef, shrimp, Tilapia, veal"
"111397","pear, beef"
"111399","cheddar cheese"
"111436","blueberry, walnut, anise, oregano, apricot, radish greens, borage flower, guava, borage leaf, lemon balm, watercress, chive stem"
"111489","walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, Spenach, oregano, lavender"
"111501","cheddar cheese"
"111502","cheddar cheese"
"111503","cheddar cheese"
"11153","cheddar cheese"
"111578","beef, veal"
"111620","beef, salmon, chicken"
"111628","cardamom, poppy seed"
"111760","beef, trout, brussel sprout"
"111777","cocoa seed, oregano, avocado, betel nut, poppy seed"
"11180","beef"
"111849","beef"
"111915","walnut, grape_fermented, anise, olive, cardamom, bay leaf, butter, ginger"
