"Feature","category","Method"
"23905","Milk (semi skimmed)","Top20_VIP_High"
"23928","Honey flakes and whole milk, Milk (semi skimmed), Milk (whole)","Top20_VIP_High"
"23977","Tuna","Top20_VIP_High"
"2399","Chicken Nuggets from L15/D15, Chicken and potato soup","Top20_VIP_High"
"24046","Chocolate milk shake","Top20_VIP_High"
"24053","Vitamin kids","Top20_VIP_High"
"24229","Chicken Nuggets from L15/D15, Chicken and rice soup","Top20_VIP_High"
"24388","Macaroni Cheese, Cheese and potato bake, Sandwich with cream cheese-butter","Top20_VIP_High"
"24466","Pinapple juice","Top20_VIP_High"
"24467","Pinapple juice","Top20_VIP_High"
"24469","Custard cream (based on ice cream)","Top20_VIP_High"
"24534","Apple juice, Cheddar Cheese","Top20_VIP_High"
"24556","Macaroni Cheese","Top20_VIP_High"
"24579","Cheddar Cheese","Top20_VIP_High"
"24581","Nesquik, Sandwich with Tuna Mayo","Top20_VIP_High"
"24978","Milk (semi skimmed), Milk (skimmed)","Top20_VIP_High"
"25035","Cheese and potato bake","Top20_VIP_High"
"25068","Vitamin kids","Top20_VIP_High"
"2508","Chicken Nuggets from L15/D15, Chicken and potato soup","Top20_VIP_High"
"25109","Chicken with boiled potatoes and tomato sauce, Chicken and rice soup","Top20_VIP_High"
"25137","Cheddar Cheese","Top20_VIP_High"
"2524","Chicken with boiled potatoes and tomato sauce, Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce, Chicken and potato soup","Top20_VIP_High"
"25245","Orange juice","Top20_VIP_High"
"25694","Apple and Mango juice","Top20_VIP_High"
"25735","Vitamin kids","Top20_VIP_High"
"2579","Chicken and potato soup","Top20_VIP_High"
"25800","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"25813","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"25854","Cheddar Cheese","Top20_VIP_High"
"25858","Cheese and potato bake","Top20_VIP_High"
"26070","butter, Mayo","Top20_VIP_High"
"26098","Honey flakes and whole milk, Milk (semi skimmed), Milk (whole), Rice pops and whole milk","Top20_VIP_High"
"26388","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"26792","Nesquik, Sandwich with egg-butter","Top20_VIP_High"
"26796","Apple and Mango juice","Top20_VIP_High"
"26822","Macaroni Cheese, Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"27197","Nesquik","Top20_VIP_High"
"27206","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"27573","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"2760","Chicken, Egg","Top20_VIP_High"
"27611","Apple juice","Top20_VIP_High"
"27627","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"27628","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"27679","Honey flakes and semi skimmed milk","Top20_VIP_High"
"27762","Milk (skimmed)","Top20_VIP_High"
"27765","Honey flakes and whole milk, Milk (whole), Rice pops and whole milk","Top20_VIP_High"
"27820","Chicken Nuggets from L15/D15","Top20_VIP_High"
"27855","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes and semi skimmed milk","Top20_VIP_High"
"27872","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes, Honey flakes and semi skimmed milk, Honey flakes and whole milk","Top20_VIP_High"
"2789","Tuna Mayo Pasta","Top20_VIP_High"
"27974","Orange juice","Top20_VIP_High"
"27978","Pasta","Top20_VIP_High"
"28","Egg","Top20_VIP_High"
"28005","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes and semi skimmed milk, Honey flakes and whole milk","Top20_VIP_High"
"28013","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes and semi skimmed milk","Top20_VIP_High"
"28026","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes, Honey flakes and semi skimmed milk, Honey flakes and whole milk","Top20_VIP_High"
"28160","Milk (whole)","Top20_VIP_High"
"28441","Cheddar Cheese","Top20_VIP_High"
"28454","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"28795","Pinapple juice","Top20_VIP_High"
"288","Macaroni Cheese","Top20_VIP_High"
"28808","Orange juice","Top20_VIP_High"
"28819","Orange juice","Top20_VIP_High"
"28828","Apple juice, Orange juice","Top20_VIP_High"
"2893","Cream cheese","Top20_VIP_High"
"2908","Fish & Chips, Chicken Nuggets & Chips, Chicken and potato soup","Top20_VIP_High"
"29098","Macaroni Cheese","Top20_VIP_High"
"29109","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"29144","Vitamin kids","Top20_VIP_High"
"29246","Orange juice","Top20_VIP_High"
"29250","Tomato","Top20_VIP_High"
