"Feature","category","Method"
"40563","Chicken with boiled rice and tomato sauce, Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"40703","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"40719","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes and semi skimmed milk, Rice pops and semi skimmed milk, Rice pops and whole milk","Top20_VIP_High"
"40751","Cheese and potato bake","Top20_VIP_High"
"40758","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"40761","Sandwich with cream cheese-butter","Top20_VIP_High"
"40781","Cod from fish and chips from L14/D14","Top20_VIP_High"
"40802","Nesquik","Top20_VIP_High"
"40803","Rice Pudding","Top20_VIP_High"
"40809","Chicken with boiled rice and tomato sauce","Top20_VIP_High"
"4082","Cucumber","Top20_VIP_High"
"40850","butter, Mayo","Top20_VIP_High"
"40880","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"40882","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"40892","Pasta","Top20_VIP_High"
"40919","Modulen","Top20_VIP_High"
"40920","Modulen","Top20_VIP_High"
"40948","Egg","Top20_VIP_High"
"41009","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"41014","Sandwich with cream cheese-butter","Top20_VIP_High"
"41027","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"41133","Mayo","Top20_VIP_High"
"41135","Cucumber","Top20_VIP_High"
"41153","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"41159","Cornflakes and semi skimmed milk, Rice pops and semi skimmed milk","Top20_VIP_High"
"41228","Rice Pudding, Custard cream (based on ice cream), Chocolate milk shake","Top20_VIP_High"
"41237","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"41240","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"41281","Milk (skimmed)","Top20_VIP_High"
"41308","Milk (skimmed)","Top20_VIP_High"
"41336","Sandwich with chicken-cream cheese","Top20_VIP_High"
"41372","Milk (skimmed)","Top20_VIP_High"
"41377","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"41382","Sandwich with cream cheese-cheddar cheese, Sandwich with cream cheese-butter","Top20_VIP_High"
"41391","Sandwich with Tuna Mayo","Top20_VIP_High"
"41400","Mayo","Top20_VIP_High"
"41430","Mayo","Top20_VIP_High"
"41453","Mayo","Top20_VIP_High"
"41514","Sandwich with egg-cream cheese","Top20_VIP_High"
"41525","Rice pops and semi skimmed milk","Top20_VIP_High"
"41539","Cornflakes and semi skimmed milk, Honey flakes and semi skimmed milk","Top20_VIP_High"
"41540","Cucumber","Top20_VIP_High"
"41542","Rice pops and semi skimmed milk","Top20_VIP_High"
"41593","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"41615","Honey flakes and semi skimmed milk","Top20_VIP_High"
"41711","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"41726","Rice pops and semi skimmed milk, Rice pops and whole milk","Top20_VIP_High"
"41741","Rice Pudding, Custard cream (based on ice cream), Chocolate milk shake","Top20_VIP_High"
"41843","Sandwich with chicken-cream cheese","Top20_VIP_High"
"41849","Sandwich with chicken-cream cheese, Schar bread","Top20_VIP_High"
"41880","Cornflakes and semi skimmed milk","Top20_VIP_High"
"41970","Sandwich with cream cheese-cheddar cheese, Sandwich with cream cheese-butter","Top20_VIP_High"
"41995","Modulen","Top20_VIP_High"
"41997","Modulen","Top20_VIP_High"
"42006","Modulen","Top20_VIP_High"
"42019","Milk (semi skimmed)","Top20_VIP_High"
"42047","Chicken with boiled rice and tomato sauce, Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"42060","Milk (skimmed)","Top20_VIP_High"
"42114","Rice pops","Top20_VIP_High"
"42124","Flour","Top20_VIP_High"
"4220","Mayo","Top20_VIP_High"
"42296","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"42308","Sandwich with egg-cream cheese","Top20_VIP_High"
"42357","Cod from fish and chips from L14/D14","Top20_VIP_High"
"42362","Cod from fish and chips from L14/D14","Top20_VIP_High"
"42374","Rice pops and semi skimmed milk","Top20_VIP_High"
"42376","Cornflakes and semi skimmed milk, Rice pops and semi skimmed milk","Top20_VIP_High"
"42379","Rice pops and semi skimmed milk","Top20_VIP_High"
"42380","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"42443","Rice pops and semi skimmed milk, Rice pops and whole milk","Top20_VIP_High"
"42444","Rice pops and semi skimmed milk","Top20_VIP_High"
"42463","Sandwich with egg-cream cheese","Top20_VIP_High"
"42500","Chocolate Rice Pudding","Top20_VIP_High"
"42503","Flour, Macaroni Cheese","Top20_VIP_High"
"42510","Sandwich with egg-cream cheese","Top20_VIP_High"
"42630","Nesquik","Top20_VIP_High"
"42802","Sandwich with egg-cream cheese","Top20_VIP_High"
"42810","Vitamin adults","Top20_VIP_High"
"42822","Modulen","Top20_VIP_High"
"42843","Modulen","Top20_VIP_High"
"42884","Rice Pudding","Top20_VIP_High"
"4295","Schar bread","Top20_VIP_High"
"42955","Chocolate milk shake","Top20_VIP_High"
"43018","Sandwich with egg-cream cheese","Top20_VIP_High"
"43032","Sandwich with egg-cream cheese","Top20_VIP_High"
"43035","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"43049","Rice pops and semi skimmed milk","Top20_VIP_High"
"43070","Cod from fish and chips from L14/D14","Top20_VIP_High"
"43075","Rice pops and semi skimmed milk","Top20_VIP_High"
"43077","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes and semi skimmed milk, Rice pops and semi skimmed milk","Top20_VIP_High"
"43184","Sandwich with egg-cream cheese","Top20_VIP_High"
"43203","Rice pops","Top20_VIP_High"
"43352","Modulen","Top20_VIP_High"
"43353","Modulen","Top20_VIP_High"
"4339","Tuna Mayo Pasta","Top20_VIP_High"
"43435","Sandwich with egg-cream cheese","Top20_VIP_High"
"43448","Sandwich with cream cheese-butter","Top20_VIP_High"
"43512","Sandwich with cream cheese-butter","Top20_VIP_High"
"43549","Milk (semi skimmed)","Top20_VIP_High"
"43591","Schar bread","Top20_VIP_High"
"43623","Rice Pudding, Chocolate Rice Pudding","Top20_VIP_High"
"43647","Rice Pudding","Top20_VIP_High"
"43651","Rice Pudding","Top20_VIP_High"
"43652","Rice Pudding, Chocolate Rice Pudding","Top20_VIP_High"
"43653","Rice Pudding, Chocolate Rice Pudding","Top20_VIP_High"
"43688","Sandwich with egg-cream cheese","Top20_VIP_High"
"43828","Sandwich with egg-cream cheese","Top20_VIP_High"
"43833","Sandwich with Tuna Mayo, Sandwich with cream cheese-butter","Top20_VIP_High"
"43901","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"43944","Nesquik","Top20_VIP_High"
"43949","Sandwich with egg-cream cheese","Top20_VIP_High"
"43967","Flour, Schar bread","Top20_VIP_High"
"4399","Orange juice","Top20_VIP_High"
"44035","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"44052","Sandwich with egg-cream cheese","Top20_VIP_High"
"4412","Chicken Nuggets from L15/D15, Chicken and potato soup","Top20_VIP_High"
"44173","Flour","Top20_VIP_High"
"4419","butter, Chicken","Top20_VIP_High"
"44191","Flour","Top20_VIP_High"
"44251","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"44319","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"44320","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"44350","Sandwich with egg-cream cheese","Top20_VIP_High"
"44399","Custard cream (based on ice cream)","Top20_VIP_High"
"44440","Chicken and rice soup","Top20_VIP_High"
"44471","Rice pops","Top20_VIP_High"
"44472","Rice pops","Top20_VIP_High"
"44510","Cod from fish and chips from L14/D14","Top20_VIP_High"
"44532","Sandwich with egg-cream cheese","Top20_VIP_High"
"44572","Sandwich with chicken-cream cheese","Top20_VIP_High"
"4462","Mayo","Top20_VIP_High"
"4464","Chicken","Top20_VIP_High"
"44640","Sandwich with egg-cream cheese","Top20_VIP_High"
"44642","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"44675","Sandwich with egg-cream cheese","Top20_VIP_High"
"44691","Rice pops","Top20_VIP_High"
"44746","Sandwich with chicken-cream cheese","Top20_VIP_High"
"44766","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"44872","Chicken pasta bake","Top20_VIP_High"
"44932","Cornflakes","Top20_VIP_High"
"45021","Warburtons bread","Top20_VIP_High"
"45049","Chicken and rice soup","Top20_VIP_High"
"45140","Cucumber","Top20_VIP_High"
"45287","Sandwich with Tuna Mayo","Top20_VIP_High"
"453","Fish & Chips, Chicken Nuggets & Chips","Top20_VIP_High"
"45350","Sandwich with chicken-cream cheese","Top20_VIP_High"
"45359","Cornflakes, Pasta","Top20_VIP_High"
"45375","Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"45419","Milk (skimmed)","Top20_VIP_High"
"45663","Cucumber","Top20_VIP_High"
"45683","Honey flakes","Top20_VIP_High"
"45687","Chicken pasta bake","Top20_VIP_High"
"45691","Cream cheese, Sandwich with cream cheese-butter","Top20_VIP_High"
"45736","Flour, Fish & Chips","Top20_VIP_High"
"45762","Tuna","Top20_VIP_High"
"45819","Sandwich with Tuna Mayo","Top20_VIP_High"
"45824","Cucumber","Top20_VIP_High"
"45825","Cream cheese","Top20_VIP_High"
"4583","Chicken","Top20_VIP_High"
"45876","Sandwich with chicken-cream cheese","Top20_VIP_High"
"45882","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"45892","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"45941","Chips","Top20_VIP_High"
"45954","Chips","Top20_VIP_High"
"4605","Chicken Nuggets from L15/D15, Chicken and potato soup","Top20_VIP_High"
"46056","Sandwich with chicken-cream cheese","Top20_VIP_High"
"4609","Chicken","Top20_VIP_High"
"46099","Cucumber","Top20_VIP_High"
"461","Cod from fish and chips from L14/D14","Top20_VIP_High"
"46149","Cornflakes","Top20_VIP_High"
"462","Fish & Chips, Chicken Nuggets & Chips","Top20_VIP_High"
"46235","Sandwich with chicken-cream cheese","Top20_VIP_High"
"46258","Sandwich with egg-cream cheese","Top20_VIP_High"
"46359","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"4636","Pinapple juice","Top20_VIP_High"
"46398","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"464","Fish & Chips, Chicken Nuggets & Chips","Top20_VIP_High"
"46525","Sandwich with egg-cream cheese","Top20_VIP_High"
"46527","Chicken and rice soup","Top20_VIP_High"
"46534","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"46551","Honey flakes","Top20_VIP_High"
"46642","Sandwich with Tuna Mayo, Schar bread","Top20_VIP_High"
"46743","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"46757","Cream cheese","Top20_VIP_High"
"46766","Chicken Nuggets & Chips","Top20_VIP_High"
"46819","Chicken pasta bake","Top20_VIP_High"
"46845","Cream cheese, Nesquik","Top20_VIP_High"
"46855","Sandwich with cream cheese-butter","Top20_VIP_High"
"46926","Chicken and rice soup","Top20_VIP_High"
"46962","Lasagne with beef mince and cheese sauce, Tuna Mayo Pasta","Top20_VIP_High"
"46973","Pasta","Top20_VIP_High"
"46976","Sandwich with Tuna Mayo","Top20_VIP_High"
"47139","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"47165","Chips, Cheese and potato bake","Top20_VIP_High"
"472","Chicken Nuggets & Chips","Top20_VIP_High"
"47200","Sandwich with Tuna Mayo","Top20_VIP_High"
"47212","Chips","Top20_VIP_High"
"4725","Chicken","Top20_VIP_High"
"47285","Mayo, Nesquik","Top20_VIP_High"
"47289","Cornflakes","Top20_VIP_High"
"47311","Sandwich with chicken-butter, Sandwich with egg-cream cheese","Top20_VIP_High"
"47314","Chips","Top20_VIP_High"
"47451","Pinapple juice","Top20_VIP_High"
"47466","Tuna Mayo Pasta","Top20_VIP_High"
"47552","Sandwich with Tuna Mayo","Top20_VIP_High"
"47566","Rice pops","Top20_VIP_High"
"47567","Milk (whole)","Top20_VIP_High"
"47599","Cucumber","Top20_VIP_High"
"47678","Honey flakes","Top20_VIP_High"
"47834","Warburtons bread","Top20_VIP_High"
"47908","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"47962","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"48006","Chicken and potato soup","Top20_VIP_High"
"48010","Tuna","Top20_VIP_High"
"48044","Honey flakes","Top20_VIP_High"
"48103","Chicken and rice soup","Top20_VIP_High"
"48165","Honey flakes","Top20_VIP_High"
"48166","Cornflakes","Top20_VIP_High"
"4817","Tuna Mayo Pasta","Top20_VIP_High"
"48216","Sandwich with Tuna Mayo","Top20_VIP_High"
"48221","Chicken and potato soup","Top20_VIP_High"
"48330","Cream cheese","Top20_VIP_High"
"48352","Cornflakes and semi skimmed milk, Rice pops and semi skimmed milk, Rice pops and whole milk","Top20_VIP_High"
"4836","Schar bread","Top20_VIP_High"
"48362","Cornflakes and semi skimmed milk, Rice pops and semi skimmed milk, Rice pops and whole milk","Top20_VIP_High"
"48414","Milk (skimmed)","Top20_VIP_High"
"48488","Tuna Mayo Pasta","Top20_VIP_High"
"48512","Tuna Mayo Pasta","Top20_VIP_High"
"48702","Tuna","Top20_VIP_High"
"48786","Tuna","Top20_VIP_High"
"4879","Vitamin adults","Top20_VIP_High"
"488","Fish & Chips","Top20_VIP_High"
"48810","Chips","Top20_VIP_High"
"48833","Milk (whole)","Top20_VIP_High"
"4889","Vitamin adults","Top20_VIP_High"
"4890","Vitamin adults","Top20_VIP_High"
"48932","Sandwich with Tuna Mayo, Tuna","Top20_VIP_High"
"48953","Chicken with boiled potatoes and tomato sauce, Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"49073","Cod from fish and chips from L14/D14","Top20_VIP_High"
"49124","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"4917","Pinapple juice","Top20_VIP_High"
"49233","Tuna","Top20_VIP_High"
"49348","Chicken Nuggets & Chips, Sandwich with Tuna Mayo","Top20_VIP_High"
"49681","Flour","Top20_VIP_High"
"49720","butter","Top20_VIP_High"
"4976","Chicken Nuggets from L15/D15","Top20_VIP_High"
"49766","Cream cheese, Nesquik","Top20_VIP_High"
"49783","Pasta","Top20_VIP_High"
"49795","Sandwich with Tuna Mayo, Tuna","Top20_VIP_High"
"49841","Chicken","Top20_VIP_High"
"49865","Tuna","Top20_VIP_High"
"49870","Tuna","Top20_VIP_High"
"50002","Rice pops","Top20_VIP_High"
"50023","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"50100","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"50324","Tuna","Top20_VIP_High"
"50373","Cream cheese, Chicken with boiled potatoes and tomato sauce, Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"50388","Warburtons bread","Top20_VIP_High"
"504","Chips","Top20_VIP_High"
"50421","Cod from fish and chips from L14/D14, Cod with boiled rice and tomato sauce","Top20_VIP_High"
"50506","Cod from fish and chips from L14/D14","Top20_VIP_High"
"5051","Tomato","Top20_VIP_High"
"50552","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"50553","Chicken pasta bake","Top20_VIP_High"
"50616","Cod from fish and chips from L14/D14","Top20_VIP_High"
"50767","Flour, Schar bread","Top20_VIP_High"
"50771","Flour","Top20_VIP_High"
"50802","Sandwich with chicken-cream cheese","Top20_VIP_High"
"50804","Chocolate milk shake","Top20_VIP_High"
"50880","Cream cheese","Top20_VIP_High"
"50904","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"50922","Tuna","Top20_VIP_High"
"50974","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"50992","Pasta","Top20_VIP_High"
"51134","Tuna Mayo Pasta","Top20_VIP_High"
"51155","Milk (whole)","Top20_VIP_High"
"51230","Tuna","Top20_VIP_High"
"51239","Tuna","Top20_VIP_High"
"5127","Honey flakes","Top20_VIP_High"
"51304","Chips","Top20_VIP_High"
"51308","Modulen","Top20_VIP_High"
"51365","Chips","Top20_VIP_High"
"51373","Chips","Top20_VIP_High"
"51438","Sandwich with Tuna Mayo","Top20_VIP_High"
"51441","Warburtons bread","Top20_VIP_High"
"51506","Chicken, Egg, Chicken pasta bake","Top20_VIP_High"
"51578","Tuna","Top20_VIP_High"
"5171","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"51741","Cheese and potato bake","Top20_VIP_High"
"51857","Chips","Top20_VIP_High"
"51884","Mayo","Top20_VIP_High"
"51888","Chicken Nuggets from L15/D15","Top20_VIP_High"
"51998","Chicken","Top20_VIP_High"
"52073","Chips","Top20_VIP_High"
"52121","Chips","Top20_VIP_High"
"52122","Chips","Top20_VIP_High"
"52153","Chips","Top20_VIP_High"
"52342","Tuna","Top20_VIP_High"
"52441","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"52483","Chicken Nuggets from L15/D15","Top20_VIP_High"
"52571","Cheese and potato bake","Top20_VIP_High"
"52635","Tuna Mayo Pasta","Top20_VIP_High"
"52703","Cornflakes and whole milk","Top20_VIP_High"
"52737","Pasta","Top20_VIP_High"
"52771","Warburtons bread","Top20_VIP_High"
"52880","Cornflakes and whole milk","Top20_VIP_High"
"52963","Chicken pasta bake","Top20_VIP_High"
"53017","Tuna","Top20_VIP_High"
"53033","Chicken with boiled rice and tomato sauce, Chicken with mashed potatoes and cheese sauce, Nesquik","Top20_VIP_High"
"53067","Milk (semi skimmed)","Top20_VIP_High"
"53084","Chicken with mashed potatoes and cheese sauce, Chicken pasta bake","Top20_VIP_High"
"53105","Chicken with boiled rice and tomato sauce, Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"53138","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"53141","Sandwich with chicken-cream cheese","Top20_VIP_High"
"53197","Chicken pasta bake","Top20_VIP_High"
"53250","Cod from fish and chips from L14/D14, Cod with boiled rice and tomato sauce","Top20_VIP_High"
"5328","Macaroni Cheese, Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"53310","Nesquik, Pasta","Top20_VIP_High"
"53312","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"53392","butter, Cream cheese, Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"53455","Chips","Top20_VIP_High"
"53474","Rice pops","Top20_VIP_High"
"53477","Chicken with boiled rice and tomato sauce","Top20_VIP_High"
"53497","Honey flakes and semi skimmed milk","Top20_VIP_High"
"53581","Milk (skimmed)","Top20_VIP_High"
"53592","Honey flakes and semi skimmed milk, Rice pops, Rice pops and semi skimmed milk","Top20_VIP_High"
"53654","Cod from fish and chips from L14/D14","Top20_VIP_High"
"53672","Egg","Top20_VIP_High"
"53721","Chicken with boiled rice and tomato sauce, Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"53757","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Rice pops","Top20_VIP_High"
"53788","Chicken pasta bake","Top20_VIP_High"
"539","Cod from fish and chips from L14/D14","Top20_VIP_High"
"53959","Chicken, Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"54003","Chicken pasta bake","Top20_VIP_High"
"54006","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"5401","Honey flakes, Honey flakes and semi skimmed milk, Honey flakes and whole milk","Top20_VIP_High"
"54055","Rice pops and semi skimmed milk, Rice Pudding","Top20_VIP_High"
"54068","Chicken and potato soup","Top20_VIP_High"
"541","Cod from fish and chips from L14/D14","Top20_VIP_High"
"54110","Rice pops","Top20_VIP_High"
"54153","Chicken pasta bake","Top20_VIP_High"
"54341","Custard cream (based on ice cream)","Top20_VIP_High"
"54449","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"54462","Fish & Chips","Top20_VIP_High"
"5450","Flour","Top20_VIP_High"
"54520","Chicken Nuggets from L15/D15","Top20_VIP_High"
"54539","Chicken pasta bake, Tuna","Top20_VIP_High"
"54556","Fish & Chips","Top20_VIP_High"
"54633","Cucumber, Flour, Pasta","Top20_VIP_High"
"5465","Chicken stuffed with cheddar cheese-roasted potatoes and tomato sauce","Top20_VIP_High"
"547","butter, Mayo, Sandwich with cream cheese-butter","Top20_VIP_High"
"54714","Tuna","Top20_VIP_High"
"54791","Sandwich with Tuna Mayo","Top20_VIP_High"
"5496","Pinapple juice","Top20_VIP_High"
"55039","Cornflakes and semi skimmed milk, Cornflakes and whole milk","Top20_VIP_High"
"55114","Cornflakes","Top20_VIP_High"
"55221","Chicken and rice soup","Top20_VIP_High"
"55323","Cream cheese","Top20_VIP_High"
"55421","Chicken, Egg","Top20_VIP_High"
"55516","Beef meatballs with spaghetti and tomato sauce","Top20_VIP_High"
"55541","Sandwich with Tuna Mayo","Top20_VIP_High"
"55666","Chicken with boiled rice and tomato sauce, Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"55741","Chicken with boiled rice and tomato sauce, Nesquik, Pasta","Top20_VIP_High"
"55782","butter","Top20_VIP_High"
"558","butter, Mayo","Top20_VIP_High"
"55921","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"56002","Flour","Top20_VIP_High"
"56061","Schar bread","Top20_VIP_High"
"56063","Chicken with boiled rice and tomato sauce, Chicken pasta bake, Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"56068","Chicken Nuggets from L15/D15, Pasta","Top20_VIP_High"
"56186","Chicken pasta bake","Top20_VIP_High"
"56200","Cod with boiled rice and tomato sauce","Top20_VIP_High"
"56261","Chicken pasta bake","Top20_VIP_High"
"56314","Cod from fish and chips from L14/D14, Cod with boiled rice and tomato sauce","Top20_VIP_High"
"56346","Macaroni Cheese, Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"56358","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"56395","Chicken with boiled rice and tomato sauce","Top20_VIP_High"
"5640","Macaroni Cheese","Top20_VIP_High"
"56416","Chicken pasta bake","Top20_VIP_High"
"56468","Flour, Mayo","Top20_VIP_High"
"56583","Cheese and potato bake","Top20_VIP_High"
"56591","Rice pops and whole milk","Top20_VIP_High"
"56618","Egg","Top20_VIP_High"
"56642","Cornflakes","Top20_VIP_High"
"56683","Rice Pudding, Chocolate Rice Pudding","Top20_VIP_High"
"56735","Rice Pudding","Top20_VIP_High"
"56742","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"56752","Chicken pasta bake, Nesquik","Top20_VIP_High"
"56801","Egg, Chicken pasta bake","Top20_VIP_High"
"56822","Chips, Cheese and potato bake","Top20_VIP_High"
"56834","Cheese and potato bake","Top20_VIP_High"
"56891","Chicken Nuggets from L15/D15","Top20_VIP_High"
"56902","Cheese and potato bake","Top20_VIP_High"
"5704","Cornflakes","Top20_VIP_High"
"57100","Flour, Sandwich with Tuna Mayo, Sandwich with chicken-butter","Top20_VIP_High"
"57114","Egg","Top20_VIP_High"
"5714","Schar bread","Top20_VIP_High"
"57216","Flour","Top20_VIP_High"
"57359","Rice pops and semi skimmed milk","Top20_VIP_High"
"57401","Sandwich with Tuna Mayo","Top20_VIP_High"
"57425","Honey flakes and semi skimmed milk, Warburtons bread","Top20_VIP_High"
"57486","Honey flakes","Top20_VIP_High"
"57488","Warburtons bread","Top20_VIP_High"
"57489","Modulen","Top20_VIP_High"
"57493","Modulen","Top20_VIP_High"
"57530","Modulen","Top20_VIP_High"
"57534","Modulen, Rice Pudding","Top20_VIP_High"
"5757","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"57580","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"57600","Macaroni Cheese","Top20_VIP_High"
"57603","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"57641","Rice pops and whole milk","Top20_VIP_High"
"57668","Chicken and rice soup","Top20_VIP_High"
"57824","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"57848","Egg","Top20_VIP_High"
"57877","Chicken Nuggets & Chips","Top20_VIP_High"
"57884","Cornflakes and whole milk, Modulen, Rice pops and whole milk","Top20_VIP_High"
"57946","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"58096","Egg","Top20_VIP_High"
"58110","Cornflakes","Top20_VIP_High"
"58249","Macaroni Cheese, Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"58255","Fish & Chips","Top20_VIP_High"
"58312","Nesquik, Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"58344","Sandwich with chicken-cream cheese","Top20_VIP_High"
"58398","Fish & Chips","Top20_VIP_High"
"58533","Warburtons bread","Top20_VIP_High"
"58548","Chicken with boiled rice and tomato sauce","Top20_VIP_High"
"58573","Rice pops, Rice pops and semi skimmed milk, Rice pops and whole milk","Top20_VIP_High"
"58648","Orange juice, Pasta","Top20_VIP_High"
"58671","Sandwich with chicken-butter","Top20_VIP_High"
"58762","Cornflakes and semi skimmed milk, Cornflakes and whole milk, Honey flakes, Honey flakes and semi skimmed milk","Top20_VIP_High"
"58841","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"58844","Pizza with chicken & 1/2 portion tomato dip sauce","Top20_VIP_High"
"58847","Schar bread","Top20_VIP_High"
"58866","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"58923","Orange juice, Pasta","Top20_VIP_High"
"58966","Chicken with boiled rice and tomato sauce, Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"58998","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"59116","Honey flakes and semi skimmed milk","Top20_VIP_High"
"59139","Macaroni Cheese","Top20_VIP_High"
"59154","Chicken pasta bake","Top20_VIP_High"
"59159","Chicken and rice soup","Top20_VIP_High"
"59167","Cream cheese","Top20_VIP_High"
"59184","Chicken with mashed potatoes and cheese sauce","Top20_VIP_High"
"59187","Cornflakes, Nesquik","Top20_VIP_High"
"59210","Fish & Chips","Top20_VIP_High"
"59216","Rice pops","Top20_VIP_High"
"59301","Cornflakes, Cream cheese","Top20_VIP_High"
"59382","Sandwich with cream cheese-butter","Top20_VIP_High"
"59398","Honey flakes and semi skimmed milk, Warburtons bread","Top20_VIP_High"
"59472","Rice pops","Top20_VIP_High"
"59512","Cod from fish and chips from L14/D14","Top20_VIP_High"
"59524","Chicken with boiled potatoes and tomato sauce","Top20_VIP_High"
"59576","Sandwich with chicken-butter, Sandwich with cream cheese-cheddar cheese","Top20_VIP_High"
"59618","Salmon with mashed potatoes and cheese sauce","Top20_VIP_High"
"59648","Sandwich with cream cheese-butter","Top20_VIP_High"
"59691","Egg, Sandwich with chicken-butter","Top20_VIP_High"
"59725","Warburtons bread","Top20_VIP_High"
"59944","Rice pops","Top20_VIP_High"
"60046","Chicken with boiled rice and tomato sauce","Top20_VIP_High"
"60062","Lasagne with beef mince and cheese sauce","Top20_VIP_High"
"60167","Fish Pie (cod-salmon) in a cheese sauce topped with mashed potatoes","Top20_VIP_High"
"60264","Tuna Mayo Pasta","Top20_VIP_High"
"60280","Sandwich with chicken-butter","Top20_VIP_High"
"60281","Sandwich with chicken-butter, Sandwich with cream cheese-butter","Top20_VIP_High"
"60376","Cornflakes","Top20_VIP_High"
"60404","Warburtons bread","Top20_VIP_High"
