#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
13596	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:204075	3916	-1	0	303.232	1	0.903728	475.67	0	6870000.0	304003000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf13596	-1	500_foods_SPECTRUMID2.mgf	4.22692				12	0	0.00128174	303.231	0	
4595	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:41740	1863	-1	0	286.176	1	0.903336	160.62	0	1110000.0	132108000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf4595	-1	500_foods_SPECTRUMID2.mgf	0.426556				5	0	0.00012207	286.176	0	
12755	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:187216	8590	-1	0	345.061	1	0.903255	457.63	0	190000.0	76853300.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf12755	-1	500_foods_SPECTRUMID2.mgf	1.85726				12	0	0.000640869	345.06	0	
3314	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:27125	51877	-1	0	263.142	1	0.902875	122.76	0	788600.0	31699400.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf3314	-1	500_foods_SPECTRUMID2.mgf	1.04376				6	0	0.000274658	263.142	0	
1931	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:18649	47742	-1	0	218.081	1	0.902778	73.46	0	206000.0	29322900.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf1931	-1	500_foods_SPECTRUMID2.mgf	1.60928				7	0	0.000350952	218.081	0	
18792	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:246195	42634	-1	0	852.799	1	0.902597	627.67	0	302900.0	36892500.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf18792	-1	500_foods_SPECTRUMID2.mgf	4.07951				8	0	0.003479	852.796	0	
10636	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:166399	47630	-1	0	216.196	1	0.902453	396.07	0	113800.0	18853000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf10636	-1	500_foods_SPECTRUMID2.mgf	0.564629				9	0	0.00012207	216.196	0	
15447	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:219005	30282	-1	0	568.427	1	0.902334	521.35	0	1924100.0	43250700.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf15447	-1	500_foods_SPECTRUMID2.mgf	2.04013				11	0	0.00115967	568.426	0	
8698	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:129147	29893	-1	0	562.343	1	0.902049	308.59	0	320600.0	229991000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8698	-1	500_foods_SPECTRUMID2.mgf	0.434149				14	0	561.336	562.343	0	
13175	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:226957	26803	-1	0	182.985	0	0.901929	467.09	0	47400.0	109891000.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf13175	-1	500_foods_SPECTRUMID2.mgf	1.00066				5	0	0.000183105	182.985	0	
3863	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:33571	18802	-1	0	170.081	1	0.901882	141.14	0	61500.0	19582900.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf3863	-1	500_foods_SPECTRUMID2.mgf	0.448574				6	0	7.62939e-05	170.081	0	
8364	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:117739	47796	-1	0	218.212	1	0.901859	290.68	0	129200.0	32412700.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf8364	-1	500_foods_SPECTRUMID2.mgf	1.18875				9	0	0.000259399	218.211	0	
3632	NIST_Vegan_Ominvore_iimn_gnps.mgf	*..*		:31055	2572	-1	0	292.154	1	0.901407	134.96	0	64400.0	38367900.0			temp/NIST_Vegan_Ominvore_iimn_gnps.mgf3632	-1	500_foods_SPECTRUMID2.mgf	0.417829				11	0	0.00012207	292.154	0	
